Name;Name_Num;Application_Class;Application_Num;Functions;Functions_Num;Application;Number_of_articles;Color
Emergency vehicle signal preemption;#VALEUR!;Efficiency;7;Nan;8;Application;1;rgba(31, 119, 180, 0.8)
Vehice relation management;#VALEUR!;Entertainment;6;Integrated Corridor Management Systems;6;Application;1;gold
SOS service;#VALEUR!;Entertainment;6;Nan;8;Application;2;gold
Point of interest notification;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Personal data synchronization;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Media downloading;#VALEUR!;Entertainment;6;Nan;8;Application;4;gold
Map download and update;#VALEUR!;Entertainment;6;Nan;8;Application;2;gold
Local electronic commerce/ Co-operative local services;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Insurance and financial services;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Instant messaging;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Global Internet Services;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Co-operative local services;#VALEUR!;Entertainment;6;Nan;8;Application;1;gold
Car rental/sharing assignment/reporting;#VALEUR!;Entertainment;6;Nan;8;Application;2;gold
Ecological/economical drive;#VALEUR!;Environnemental Impact;6;Powertrain Optimization;8;Application;3;lightgreen
Traffic condition warning / floating car data;#VALEUR!;Environnemental Impact;6;Nan;8;Application;4;lightgreen
Co-operative adaptative cruise control;#VALEUR!;Environnemental Impact;6;Nan;8;Application;5;lightgreen
Platoon;#VALEUR!;Freight;7;Nan;8;Application;7;brown
Local electronic commerce/ Co-operative local services;#VALEUR!;Freight;7;Nan;8;Application;1;brown
Insurance and financial services;#VALEUR!;Freight;7;Nan;8;Application;1;brown
Electronic toll collect;#VALEUR!;Freight;7;Nan;8;Application;3;brown
Ecological/economical drive;#VALEUR!;Freight;7;Nan;8;Application;3;brown
Car rental/sharing assignment/reporting;#VALEUR!;Freight;7;Nan;8;Application;2;brown
Electronic toll collect;#VALEUR!;Parking;7;Nan;8;Application;3;grey
Car rental/sharing assignment/reporting;#VALEUR!;Parking;7;Nan;8;Application;2;grey
Automatic access control/parking access;#VALEUR!;Parking;2;Nan;8;Application;1;grey
Car rental/sharing assignment/reporting;#VALEUR!;Ridessharing;2;Nan;8;Application;2;darkmagenta
Across traffic turn collision risk warning;1;Safety;1;Intersection collision avoidance;7;Application;3;lightcoral
Across traffic turn collision risk warning;2;Safety;1;Collision Warning;1;Application;3;lightcoral
Collision risk warning from RSU;3;Safety;1;Collision Warning;1;Application;2;lightcoral
Control Loss Warning;4;Safety;1;Collision Warning;1;Application;1;lightcoral
Co-operative forward collision warning;5;Safety;1;Collision Warning;1;Application;13;lightcoral
Co-operative merging assistance;6;Safety;1;Collision Warning;1;Application;5;lightcoral
Hazardous location notification;7;Safety;1;Collision Warning;1;Application;3;lightcoral
Head on collision warning;8;Safety;1;Collision Warning;1;Application;2;lightcoral
Intersection collision warning;9;Safety;1;Collision Warning;1;Application;6;lightcoral
Merging traffic turn collision risk warning;10;Safety;1;Collision Warning;1;Application;2;lightcoral
Rear end collision warning;11;Safety;1;Collision Warning;1;Application;1;lightcoral
Collision risk warning from RSU;12;Safety;1;Cooperative Situational Awareness;4;Application;2;lightcoral
Co-operative forward collision warning;13;Safety;1;Cooperative Situational Awareness;4;Application;13;lightcoral
Co-operative glare reduction;14;Safety;1;Cooperative Situational Awareness;4;Application;2;lightcoral
Co-operative merging assistance;15;Safety;1;Cooperative Situational Awareness;4;Application;5;lightcoral
Emergency electronic brake lights;16;Safety;1;Cooperative Situational Awareness;4;Application;13;lightcoral
Intersection collision warning;17;Safety;1;Cooperative Situational Awareness;4;Application;6;lightcoral
Lane change assistance;18;Safety;1;Cooperative Situational Awareness;4;Application;7;lightcoral
Slow vehicle warning;19;Safety;1;Cooperative Situational Awareness;4;Application;2;lightcoral
Co-operative glare reduction;20;Safety;1;Dynamic vehicle warning;5;Application;2;lightcoral
Lane change assistance;21;Safety;1;Dynamic vehicle warning;5;Application;7;lightcoral
Overtaking vehicle warning;22;Safety;1;Dynamic vehicle warning;5;Application;3;lightcoral
Pre-crash sensing warning;23;Safety;1;Dynamic vehicle warning;5;Application;8;lightcoral
Safety function out of normal condition warning;24;Safety;1;Vehicule status warning;8;Application;1;lightcoral
Emergency electronic brake lights;25;Safety;1;Vehicule status warning;8;Application;13;lightcoral
Vulnerable road user warning;26;Safety;1;Vehicle type warnings;8;Application;5;lightcoral
Slow vehicle warning;27;Safety;1;Vehicle type warnings;8;Application;2;lightcoral
Motorcycle warning;28;Safety;1;Vehicle type warnings;8;Application;1;lightcoral
Emergency vehicle warning;29;Safety;1;Vehicle type warnings;8;Application;3;lightcoral
Wrong way driving warning;30;Safety;1;Road hazard warning;8;Application;2;lightcoral
Traffic condition warning / floating car data;31;Safety;1;Road hazard warning;8;Application;4;lightcoral
Stationary vehicle warning;32;Safety;1;Road hazard warning;8;Application;2;lightcoral
Signal violation warning;33;Safety;1;Road hazard warning;8;Application;6;lightcoral
Roadwork warning;34;Safety;1;Road hazard warning;8;Application;1;lightcoral
Pre-crash sensing warning;35;Safety;1;Road hazard warning;8;Application;8;lightcoral
Post-crash warning;36;Safety;1;Road hazard warning;8;Application;1;lightcoral
Emergency electronic brake lights;37;Safety;1;Road hazard warning;8;Application;13;lightcoral
Decentralized floating car data;38;Safety;1;Road hazard warning;8;Application;1;lightcoral
Co-operative glare reduction;39;Safety;1;Road hazard warning;8;Application;2;lightcoral
SOS service;40;Safety;1;Nan;8;Application;2;lightcoral
Regulatory/contextual speed limits;41;Safety;1;Nan;8;Application;1;lightcoral
Left Turn Assist;42;Safety;1;Nan;8;Application;4;lightcoral
Intersection Movement Assist;43;Safety;1;Nan;8;Application;1;lightcoral
Curve Speed Warning;44;Safety;1;Nan;8;Application;2;lightcoral
Cooperative Safety Zone;45;Safety;1;Nan;8;Application;1;lightcoral
Blind Spot Warning;46;Safety;1;Nan;8;Application;3;lightcoral
Vulnerable road user warning;47;Safety;1;Intersection collision avoidance;7;Application;5;lightcoral
Signal violation warning;48;Safety;1;Intersection collision avoidance;7;Application;6;lightcoral
Intersection collision warning;49;Safety;1;Intersection collision avoidance;7;Application;6;lightcoral
Co-operative merging assistance;50;Safety;1;Intersection collision avoidance;7;Application;5;lightcoral
Stolen vehicle alert;51;Security;8;Nan;8;Application;1;orangered
SOS service;52;Security;8;Nan;8;Application;2;orangered
Vehice relation management;53;Traveler Information;9;Nan;8;Application;1;lightcyan
Point of interest notification;54;Traveler Information;9;Nan;8;Application;1;lightcyan
Map download and update;55;Traveler Information;9;Nan;8;Application;2;lightcyan
Local electronic commerce/ Co-operative local services;56;Traveler Information;9;Nan;8;Application;1;lightcyan
Remote diagnosis and just in time repair notification;57;Vehicle Maintenance;9;Nan;8;Application;2;gainsboro
Ecological/economical drive;58;Vehicle Maintenance;9;Nan;8;Application;3;gainsboro
Electronic toll collect;59;Parking;4;Nan;8;Application;3;grey
